id,name,type,category,url,display_name
65,MINSK,exterior_door,Metalic doors,/images/products/exterior_doors/MINSK.jpg,Exterior doors
66,VERONA,exterior_door,Metalic doors,/images/products/exterior_doors/VERONA.jpg,Exterior doors
67,Freestanding 1,bathtub,Freestanding,/images/products/bathtubs/Freestanding1.jpg,Bathtubs
68,Freestanding 2,bathtub,Freestanding,/images/products/bathtubs/Freestanding2.jpg,Bathtubs
69,Freestanding 3,bathtub,Freestanding,/images/products/bathtubs/Freestanding3.jpg,Bathtubs
70,Freestanding 4,bathtub,Freestanding,/images/products/bathtubs/Freestanding4.jpg,Bathtubs
71,Freestanding 5,bathtub,Freestanding,/images/products/bathtubs/Freestanding5.jpg,Bathtubs
72,Freestanding 6,bathtub,Freestanding,/images/products/bathtubs/Freestanding6.jpg,Bathtubs
73,Freestanding 7,bathtub,Freestanding,/images/products/bathtubs/Freestanding7.jpg,Bathtubs
74,Freestanding 8,bathtub,Freestanding,/images/products/bathtubs/Freestanding8.jpg,Bathtubs
75,Freestanding 9,bathtub,Freestanding,/images/products/bathtubs/Freestanding9.jpg,Bathtubs
76,Freestanding 10,bathtub,Freestanding,/images/products/bathtubs/Freestanding10.jpg,Bathtubs
78,Hamilton,woodwork_8mm,Adventure,/images/products/woodwork/8mm/Hamilton.jpg,Woodwork 8mm
79,Filadelfia,woodwork_8mm,Adventure,/images/products/woodwork/8mm/Filadelfia.jpg,Woodwork 8mm
80,Pasadena,woodwork_8mm,Adventure,/images/products/woodwork/8mm/Pasadena.jpg,Woodwork 8mm
81,Springfield,woodwork_8mm,Adventure,/images/products/woodwork/8mm/Springfield.jpg,Woodwork 8mm
82,Anderson,woodwork_8mm,Adventure,/images/products/woodwork/8mm/Anderson.jpg,Woodwork 8mm
83,Fresco,woodwork_8mm,Adventure,/images/products/woodwork/8mm/Fresco.jpg,Woodwork 8mm
84,Windsor,woodwork_8mm,Adventure,/images/products/woodwork/8mm/Windsor.jpg,Woodwork 8mm
85,Chester Spruce,woodwork_8mm,Balade,/images/products/woodwork/8mm/Chester_Spruce.jpg,Woodwork 8mm
86,Sydney,woodwork_8mm,Cottage,/images/products/woodwork/8mm/Sydney.jpg,Woodwork 8mm
87,Levi,woodwork_8mm,Cottage,/images/products/woodwork/8mm/Levi.jpg,Woodwork 8mm
88,Lahti,woodwork_8mm,Loft,/images/products/woodwork/8mm/Lahti.jpg,Woodwork 8mm
89,Indianapolis,woodwork_10mm,Arteo,/images/products/woodwork/10mm/Indianapolis.jpg,Woodwork 10mm
90,Fiorland,woodwork_10mm,Arteo,/images/products/woodwork/10mm/Fiorland.jpg,Woodwork 10mm
91,Monte Carlo,woodwork_10mm,Arteo,/images/products/woodwork/10mm/Monte_Carlo.jpg,Woodwork 10mm
92,Seregenti,woodwork_10mm,Arteo,/images/products/woodwork/10mm/Seregenti.jpg,Woodwork 10mm
93,Modena,woodwork_10mm,Freedom,/images/products/woodwork/10mm/Modena.jpg,Woodwork 10mm
94,Catania,woodwork_10mm,Freedom,/images/products/woodwork/10mm/Catania.jpg,Woodwork 10mm
95,Calgary,woodwork_10mm,Freedom,/images/products/woodwork/10mm/Calgary.jpg,Woodwork 10mm
96,Eden,woodwork_12mm,Classic,/images/products/woodwork/12mm/Eden.jpg,Woodwork 12mm
97,Woodlawn,woodwork_12mm,Classic,/images/products/woodwork/12mm/Woodlawn.jpg,Woodwork 12mm
98,Roseville,woodwork_12mm,Classic,/images/products/woodwork/12mm/Roseville.jpg,Woodwork 12mm
99,Lampeter,woodwork_12mm,Classic,/images/products/woodwork/12mm/Lampeter.jpg,Woodwork 12mm
100,Parkwood,woodwork_12mm,Classic,/images/products/woodwork/12mm/Parkwood.jpg,Woodwork 12mm
101,Zedar,woodwork_12mm,Essence,/images/products/woodwork/12mm/Zedar.jpg,Woodwork 12mm
102,Rollison,woodwork_12mm,Essence,/images/products/woodwork/12mm/Rollison.jpg,Woodwork 12mm
103,Prego,woodwork_12mm,Essence,/images/products/woodwork/12mm/Prego.jpg,Woodwork 12mm
104,Lamas,woodwork_12mm,Essence,/images/products/woodwork/12mm/Lamas.jpg,Woodwork 12mm
105,Cristie Silver,doorhandle,2021,/images/products/doorhandles/Cristie_Silver.jpg,Doorhandles
106,Cristie Bronze,doorhandle,2021,/images/products/doorhandles/Cristie_Bronze.jpg,Doorhandles
107,Daniela,doorhandle,2021,/images/products/doorhandles/Daniela.jpg,Doorhandles
108,Diana Black,doorhandle,2021,/images/products/doorhandles/Diana_Black.jpg,Doorhandles
109,Florida,doorhandle,2021,/images/products/doorhandles/Florida.jpg,Doorhandles
110,Korner,doorhandle,2021,/images/products/doorhandles/Korner.jpg,Doorhandles
111,San remo,doorhandle,2021,/images/products/doorhandles/San_remo.jpg,Doorhandles
112,Vesta,doorhandle,2021,/images/products/doorhandles/Vesta.jpg,Doorhandles
